incident_id,supplier_id,warehouse_location,region,incident_type,product_category,shipment_status,severity,inventory_level,delivery_delay,transportation_cost,order_quantity,demand_forecast,resolution_time_days,timestamp,incident_description
INC00314,S011,"Los Angeles, CA",West,Supplier Delay,Raw Materials,Delivered,high,90.05,6.74,1808.16,157,160,11,2024-01-31,Quality control issues at S011 facility halted production for 6 days pending inspection.
INC00239,S007,"Seattle, WA",Northwest,Customs Delay,Industrial Equipment,On-Time,medium,280.88,1.0,1856.85,268,366,1,2024-02-03,New import regulations requiring additional certification for Industrial Equipment category — 1-day processing time.
INC00330,S016,"San Antonio, TX",South,Quality Issue,Pharmaceuticals,Critical Delay,critical,68.78,25.23,1324.91,74,102,32,2024-02-04,"S016 reported defect rate of 10.7% in recent Pharmaceuticals shipment, return and rework initiated."
INC00315,S013,"Austin, TX",South,Weather Disruption,Medical Supplies,Delivered,medium,197.9,5.74,1623.41,169,177,13,2024-02-05,"Winter storm affecting ground transportation near Austin, TX, 5-day delivery delay expected."
INC00160,S006,"Austin, TX",South,Customs Delay,Raw Materials,In-Transit,critical,251.76,28.87,1767.98,182,251,70,2024-02-07,"Customs documentation error for S006 shipment causing 28-day clearance delay at Austin, TX."
INC00377,S004,"Phoenix, AZ",Southwest,Transportation Issue,Raw Materials,On-Time,low,698.23,0.34,813.76,208,147,1,2024-02-10,"Fuel price spike increasing transportation costs by 6.8% for Phoenix, AZ region shipments."
INC00523,S004,"Philadelphia, PA",Northeast,Customs Delay,Automotive Parts,Critical Delay,critical,17.84,9.58,1057.81,144,197,20,2024-02-10,"Tariff classification dispute for S004 shipment adding 9-day delay at Philadelphia, PA customs."
INC00060,S019,"Seattle, WA",Northwest,Transportation Issue,Automotive Parts,Delayed,medium,629.82,6.64,1122.18,270,222,12,2024-02-12,"Truck fleet shortage affecting last-mile delivery from Seattle, WA, 6-day delay on Automotive Parts orders."
INC00165,S011,"Austin, TX",South,Demand Spike,Industrial Equipment,Critical Delay,critical,618.22,10.2,1928.04,203,255,16,2024-02-13,"Seasonal demand surge for Industrial Equipment exceeding forecast by 29.1% at Austin, TX fulfillment center."
INC00491,S004,"Houston, TX",South,Weather Disruption,Food & Beverage,In-Transit,high,97.02,1.2,703.01,206,284,1,2024-02-13,"Severe weather event impacting Houston, TX region causing 1-day operational disruption."
INC00297,S016,"San Jose, CA",West,Stockout Risk,Food & Beverage,In-Transit,high,89.24,8.46,1796.67,257,277,15,2024-02-15,"Inventory for Food & Beverage at San Jose, CA warehouse approaching critical threshold — current level at 89 units."
INC00484,S005,"Phoenix, AZ",Southwest,Port Congestion,Raw Materials,Delayed,high,601.4,11.17,829.72,119,155,13,2024-02-20,"Labor strike at Phoenix, AZ port operations causing significant 11-day shipping delays."
INC00512,S013,"New York, NY",Northeast,Demand Spike,Electronics,Critical Delay,critical,7.31,5.32,1080.46,160,129,7,2024-02-21,"Flash sale event triggering 22.6% above-forecast demand for Electronics — inventory risk at New York, NY."
INC00031,S009,"Phoenix, AZ",Southwest,Transportation Issue,Food & Beverage,Critical Delay,critical,226.28,3.32,1655.93,262,245,5,2024-02-22,"Carrier capacity constraints impacting shipments from S009 to Phoenix, AZ — 3-day estimated delay."
INC00281,S010,"Chicago, IL",Midwest,Demand Spike,Automotive Parts,Delayed,critical,29.39,7.73,2185.4,110,110,15,2024-02-23,"Flash sale event triggering 28.3% above-forecast demand for Automotive Parts — inventory risk at Chicago, IL."
INC00332,S018,"Los Angeles, CA",West,Quality Issue,Raw Materials,Delayed,medium,232.11,3.44,1679.25,139,177,6,2024-02-24,"S018 reported defect rate of 26.3% in recent Raw Materials shipment, return and rework initiated."
INC00241,S008,"San Jose, CA",West,Weather Disruption,Food & Beverage,In-Transit,medium,785.33,6.65,1386.66,244,188,16,2024-02-24,"Severe weather event impacting San Jose, CA region causing 6-day operational disruption."
INC00419,S005,"Chicago, IL",Midwest,Stockout Risk,Consumer Goods,On-Time,high,122.75,0.0,1124.29,201,179,1,2024-02-25,"Inventory for Consumer Goods at Chicago, IL warehouse approaching critical threshold — current level at 122 units."
INC00296,S014,"Phoenix, AZ",Southwest,Port Congestion,Industrial Equipment,Critical Delay,critical,831.24,17.03,1443.38,193,233,31,2024-02-26,"Port congestion at Phoenix, AZ terminal causing 17-day backlog for incoming shipments."
INC00501,S016,"Los Angeles, CA",West,Customs Delay,Electronics,In-Transit,high,170.76,8.9,2506.48,160,113,19,2024-02-29,"Tariff classification dispute for S016 shipment adding 8-day delay at Los Angeles, CA customs."
INC00024,S009,"San Diego, CA",West,Demand Spike,Pharmaceuticals,Critical Delay,critical,238.89,4.7,1104.49,200,179,7,2024-02-29,"B2B bulk order from key account straining Pharmaceuticals availability across San Diego, CA distribution network."
INC00468,S017,"Dallas, TX",South,Quality Issue,Raw Materials,Delayed,low,435.15,0.0,1914.14,10,10,1,2024-03-02,Batch quality failure detected for Raw Materials from S017 — 0-day hold pending quality review.
INC00194,S005,"San Antonio, TX",South,Transportation Issue,Pharmaceuticals,Critical Delay,critical,71.9,0.16,749.08,315,411,1,2024-03-04,"Fuel price spike increasing transportation costs by 35.5% for San Antonio, TX region shipments."
INC00106,S019,"San Antonio, TX",South,Quality Issue,Automotive Parts,Critical Delay,critical,57.12,11.35,1529.11,133,131,16,2024-03-05,"Product recall risk identified for Automotive Parts batch from S019 — proactive hold at San Antonio, TX."
INC00547,S002,"Los Angeles, CA",West,Demand Spike,Food & Beverage,Delayed,high,56.62,1.04,1656.27,156,149,2,2024-03-07,"Unexpected Food & Beverage demand increase at Los Angeles, CA region — 149 units ordered vs 56 in stock."
INC00498,S013,"Houston, TX",South,Customs Delay,Medical Supplies,Delayed,medium,341.94,5.98,1526.27,179,157,11,2024-03-09,New import regulations requiring additional certification for Medical Supplies category — 5-day processing time.
INC00574,S019,"San Diego, CA",West,Port Congestion,Raw Materials,Delayed,critical,19.38,20.0,1272.36,226,212,48,2024-03-12,"Labor strike at San Diego, CA port operations causing significant 19-day shipping delays."
INC00006,S013,"Phoenix, AZ",Southwest,Customs Delay,Food & Beverage,Delayed,critical,269.25,29.74,809.4,230,171,62,2024-03-14,New import regulations requiring additional certification for Food & Beverage category — 29-day processing time.
INC00077,S019,"Austin, TX",South,Transportation Issue,Pharmaceuticals,On-Time,high,97.46,2.5,225.66,157,174,5,2024-03-14,"Route disruption due to road construction near Austin, TX increasing delivery time by 2 days."
INC00472,S015,"Austin, TX",South,Stockout Risk,Medical Supplies,Delivered,low,419.03,1.0,1970.03,179,226,1,2024-03-14,"Demand surge exceeding supply at Austin, TX — Medical Supplies inventory at 419 units vs 226 forecasted demand."
INC00254,S003,"San Antonio, TX",South,Customs Delay,Medical Supplies,On-Time,critical,26.87,4.38,1150.99,118,101,9,2024-03-16,Trade compliance review triggered for Medical Supplies shipment from S003 — 4-day estimated hold.
INC00412,S007,"Dallas, TX",South,Weather Disruption,Automotive Parts,Delayed,critical,154.69,26.48,1038.51,124,156,33,2024-03-16,"Flooding at Dallas, TX warehouse facility causing 26-day shutdown and inventory relocation."
INC00376,S001,"New York, NY",Northeast,Port Congestion,Automotive Parts,Critical Delay,critical,303.26,1.28,2071.88,222,267,2,2024-03-17,"Vessel berthing delays at New York, NY port increasing transit times by 1 days."
INC00331,S010,"New York, NY",Northeast,Quality Issue,Industrial Equipment,On-Time,low,443.54,0.14,1463.37,141,188,1,2024-03-17,"S010 reported defect rate of 36.1% in recent Industrial Equipment shipment, return and rework initiated."
INC00059,S004,"Chicago, IL",Midwest,Demand Spike,Automotive Parts,Delivered,high,99.14,8.42,1126.66,171,203,17,2024-03-18,"B2B bulk order from key account straining Automotive Parts availability across Chicago, IL distribution network."
INC00021,S004,"Houston, TX",South,Transportation Issue,Consumer Goods,Delayed,high,511.15,9.86,1503.07,181,179,15,2024-03-18,"Route disruption due to road construction near Houston, TX increasing delivery time by 9 days."
INC00049,S016,"San Diego, CA",West,Demand Spike,Consumer Goods,On-Time,high,57.8,3.63,2128.81,149,132,5,2024-03-20,"B2B bulk order from key account straining Consumer Goods availability across San Diego, CA distribution network."
INC00164,S017,"Phoenix, AZ",Southwest,Port Congestion,Pharmaceuticals,Critical Delay,critical,469.23,2.65,2020.66,222,251,4,2024-03-22,"Vessel berthing delays at Phoenix, AZ port increasing transit times by 2 days."
INC00482,S014,"Dallas, TX",South,Weather Disruption,Pharmaceuticals,Critical Delay,critical,237.18,19.85,1504.24,147,176,29,2024-03-22,"Flooding at Dallas, TX warehouse facility causing 19-day shutdown and inventory relocation."
INC00026,S003,"San Jose, CA",West,Port Congestion,Consumer Goods,In-Transit,high,334.55,10.01,1974.62,127,121,12,2024-03-24,"Vessel berthing delays at San Jose, CA port increasing transit times by 10 days."
INC00515,S016,"San Antonio, TX",South,Transportation Issue,Consumer Goods,Delayed,critical,130.99,21.16,1099.16,280,375,50,2024-04-01,"Fuel price spike increasing transportation costs by 16.3% for San Antonio, TX region shipments."
INC00537,S010,"San Diego, CA",West,Stockout Risk,Pharmaceuticals,In-Transit,critical,145.46,19.59,1661.12,321,239,39,2024-04-02,"San Diego, CA distribution center reporting Pharmaceuticals stock depletion risk within 19 days at current consumption rate."
INC00120,S004,"Philadelphia, PA",Northeast,Weather Disruption,Food & Beverage,Delayed,high,843.19,9.68,975.12,167,209,17,2024-04-03,"Hurricane warning at Philadelphia, PA port resulting in 9-day suspension of loading operations."
INC00110,S004,"Austin, TX",South,Quality Issue,Food & Beverage,On-Time,high,83.28,1.46,585.43,263,291,3,2024-04-03,Batch quality failure detected for Food & Beverage from S004 — 1-day hold pending quality review.
INC00001,S004,"New York, NY",Northeast,Demand Spike,Consumer Goods,Critical Delay,critical,16.96,36.12,1888.61,321,259,44,2024-04-05,"Unexpected Consumer Goods demand increase at New York, NY region — 259 units ordered vs 16 in stock."
INC00246,S003,"Chicago, IL",Midwest,Weather Disruption,Raw Materials,Critical Delay,critical,239.7,17.1,1783.18,211,236,28,2024-04-05,"Severe weather event impacting Chicago, IL region causing 17-day operational disruption."
INC00277,S003,"San Antonio, TX",South,Demand Spike,Food & Beverage,Delayed,critical,27.6,0.74,612.65,214,151,1,2024-04-05,"Unexpected Food & Beverage demand increase at San Antonio, TX region — 151 units ordered vs 27 in stock."
INC00333,S004,"Philadelphia, PA",Northeast,Transportation Issue,Consumer Goods,Critical Delay,critical,143.61,7.47,401.54,216,271,11,2024-04-08,"Carrier capacity constraints impacting shipments from S004 to Philadelphia, PA — 7-day estimated delay."
INC00410,S017,"Philadelphia, PA",Northeast,Customs Delay,Raw Materials,In-Transit,critical,35.3,1.0,1518.11,248,225,1,2024-04-08,Trade compliance review triggered for Raw Materials shipment from S017 — 1-day estimated hold.
INC00107,S015,"Seattle, WA",Northwest,Demand Spike,Pharmaceuticals,On-Time,medium,169.87,1.43,1734.15,193,252,2,2024-04-09,"Unexpected Pharmaceuticals demand increase at Seattle, WA region — 252 units ordered vs 169 in stock."
INC00560,S016,"Dallas, TX",South,Stockout Risk,Consumer Goods,Delayed,high,104.59,0.92,2677.55,200,237,1,2024-04-10,"Safety stock breach detected at Dallas, TX for Consumer Goods category; replenishment order placed with S016."
INC00595,S002,"Los Angeles, CA",West,Quality Issue,Pharmaceuticals,Critical Delay,critical,208.71,0.26,1533.8,159,160,1,2024-04-10,"Product recall risk identified for Pharmaceuticals batch from S002 — proactive hold at Los Angeles, CA."
INC00343,S020,"San Jose, CA",West,Weather Disruption,Automotive Parts,Delayed,medium,524.57,5.98,1160.83,167,157,11,2024-04-13,"Severe weather event impacting San Jose, CA region causing 5-day operational disruption."
INC00005,S020,"Philadelphia, PA",Northeast,Transportation Issue,Automotive Parts,Delayed,high,136.88,7.31,1122.32,247,261,16,2024-04-13,"Carrier capacity constraints impacting shipments from S020 to Philadelphia, PA — 7-day estimated delay."
INC00070,S005,"Phoenix, AZ",Southwest,Supplier Delay,Electronics,Critical Delay,critical,1280.63,7.0,1068.93,182,226,15,2024-04-15,Supplier S005 experiencing raw material shortage resulting in 6-day shipment delay for Electronics components.
INC00411,S006,"Dallas, TX",South,Supplier Delay,Automotive Parts,Critical Delay,critical,208.32,18.99,1392.47,206,154,33,2024-04-16,Supplier S006 experiencing raw material shortage resulting in 18-day shipment delay for Automotive Parts components.
INC00061,S012,"Dallas, TX",South,Weather Disruption,Food & Beverage,Critical Delay,critical,416.63,14.98,1487.46,209,200,33,2024-04-18,"Severe weather event impacting Dallas, TX region causing 14-day operational disruption."
INC00036,S001,"Chicago, IL",Midwest,Quality Issue,Pharmaceuticals,In-Transit,critical,83.91,18.06,2027.2,180,205,40,2024-04-20,"S001 reported defect rate of 14.3% in recent Pharmaceuticals shipment, return and rework initiated."
INC00545,S012,"New York, NY",Northeast,Stockout Risk,Electronics,In-Transit,high,118.63,5.06,794.64,128,106,6,2024-04-21,"Safety stock breach detected at New York, NY for Electronics category; replenishment order placed with S012."
INC00518,S003,"Los Angeles, CA",West,Supplier Delay,Consumer Goods,Delivered,high,338.98,9.1,1752.06,248,249,19,2024-04-23,"S003 labor dispute affecting production capacity, estimated 9-day delay on outstanding orders."
INC00085,S008,"Seattle, WA",Northwest,Stockout Risk,Industrial Equipment,Delayed,critical,12.05,1.3,2136.27,323,307,2,2024-04-26,"Inventory for Industrial Equipment at Seattle, WA warehouse approaching critical threshold — current level at 12 units."
INC00539,S007,"San Diego, CA",West,Port Congestion,Industrial Equipment,Critical Delay,critical,333.65,22.11,1067.62,242,202,30,2024-04-26,"Vessel berthing delays at San Diego, CA port increasing transit times by 22 days."
INC00379,S006,"Philadelphia, PA",Northeast,Quality Issue,Raw Materials,On-Time,critical,39.38,4.09,2259.42,130,150,6,2024-04-26,Batch quality failure detected for Raw Materials from S006 — 4-day hold pending quality review.
INC00263,S007,"Houston, TX",South,Demand Spike,Automotive Parts,In-Transit,high,91.78,4.03,991.14,71,71,5,2024-04-26,"Seasonal demand surge for Automotive Parts exceeding forecast by 17.8% at Houston, TX fulfillment center."
INC00071,S001,"San Jose, CA",West,Demand Spike,Raw Materials,Delayed,critical,5.8,2.76,1318.61,199,204,6,2024-04-26,"Unexpected Raw Materials demand increase at San Jose, CA region — 204 units ordered vs 5 in stock."
INC00258,S019,"Seattle, WA",Northwest,Stockout Risk,Food & Beverage,Delayed,high,59.85,5.86,1601.62,86,66,14,2024-04-28,"Safety stock breach detected at Seattle, WA for Food & Beverage category; replenishment order placed with S019."
INC00130,S013,"San Jose, CA",West,Supplier Delay,Electronics,In-Transit,critical,122.48,19.49,2011.35,14,18,30,2024-05-02,Supplier S013 experiencing raw material shortage resulting in 19-day shipment delay for Electronics components.
INC00299,S014,"Houston, TX",South,Quality Issue,Consumer Goods,In-Transit,high,303.42,7.16,1416.93,102,72,13,2024-05-02,"Product recall risk identified for Consumer Goods batch from S014 — proactive hold at Houston, TX."
INC00362,S009,"San Jose, CA",West,Demand Spike,Raw Materials,Critical Delay,critical,89.57,11.15,2763.12,110,125,16,2024-05-02,"Unexpected Raw Materials demand increase at San Jose, CA region — 125 units ordered vs 89 in stock."
INC00172,S012,"Seattle, WA",Northwest,Port Congestion,Industrial Equipment,In-Transit,high,78.67,4.31,1126.12,155,193,8,2024-05-04,"Vessel berthing delays at Seattle, WA port increasing transit times by 4 days."
INC00047,S001,"Los Angeles, CA",West,Weather Disruption,Consumer Goods,Delivered,critical,11.42,14.7,964.13,173,184,22,2024-05-04,"Flooding at Los Angeles, CA warehouse facility causing 14-day shutdown and inventory relocation."
INC00150,S020,"Chicago, IL",Midwest,Demand Spike,Electronics,In-Transit,critical,4.81,12.29,395.48,97,103,22,2024-05-07,"Unexpected Electronics demand increase at Chicago, IL region — 103 units ordered vs 4 in stock."
INC00041,S018,"Austin, TX",South,Transportation Issue,Food & Beverage,Delivered,high,55.72,4.07,1603.91,230,252,8,2024-05-07,"Carrier capacity constraints impacting shipments from S018 to Austin, TX — 4-day estimated delay."
INC00162,S016,"Phoenix, AZ",Southwest,Supplier Delay,Consumer Goods,In-Transit,critical,11.31,10.88,1239.3,175,131,17,2024-05-07,S016 reported production line shutdown due to equipment failure causing 10-day delivery delay.
INC00340,S019,"Austin, TX",South,Stockout Risk,Automotive Parts,Delayed,medium,170.96,6.35,1016.78,247,321,14,2024-05-09,"Austin, TX distribution center reporting Automotive Parts stock depletion risk within 6 days at current consumption rate."
INC00216,S013,"San Antonio, TX",South,Port Congestion,Medical Supplies,Delayed,low,377.45,2.0,1169.82,146,201,3,2024-05-10,"Vessel berthing delays at San Antonio, TX port increasing transit times by 1 days."
INC00173,S007,"Chicago, IL",Midwest,Transportation Issue,Raw Materials,Critical Delay,critical,17.87,41.73,2352.3,154,182,103,2024-05-12,"Carrier capacity constraints impacting shipments from S007 to Chicago, IL — 41-day estimated delay."
INC00112,S018,"Houston, TX",South,Transportation Issue,Consumer Goods,On-Time,critical,43.3,0.33,1138.82,260,306,1,2024-05-13,"Truck fleet shortage affecting last-mile delivery from Houston, TX, 0-day delay on Consumer Goods orders."
INC00280,S001,"Los Angeles, CA",West,Stockout Risk,Raw Materials,Delivered,medium,222.64,2.36,975.11,17,21,4,2024-05-15,"Demand surge exceeding supply at Los Angeles, CA — Raw Materials inventory at 222 units vs 21 forecasted demand."
INC00245,S013,"Philadelphia, PA",Northeast,Quality Issue,Automotive Parts,Delivered,medium,251.32,3.56,1488.22,244,308,5,2024-05-15,Material specification deviation in S013 Automotive Parts delivery requiring re-inspection and approval.
INC00282,S013,"Austin, TX",South,Demand Spike,Consumer Goods,On-Time,high,107.69,0.2,1446.99,273,312,1,2024-05-15,"Unexpected Consumer Goods demand increase at Austin, TX region — 312 units ordered vs 107 in stock."
INC00283,S019,"Houston, TX",South,Customs Delay,Electronics,Delayed,low,676.48,1.63,1115.7,213,226,2,2024-05-15,"Customs documentation error for S019 shipment causing 1-day clearance delay at Houston, TX."
INC00397,S017,"Phoenix, AZ",Southwest,Quality Issue,Consumer Goods,Critical Delay,critical,42.0,18.76,1661.48,172,153,44,2024-05-15,"Product recall risk identified for Consumer Goods batch from S017 — proactive hold at Phoenix, AZ."
INC00581,S005,"Chicago, IL",Midwest,Supplier Delay,Automotive Parts,Delayed,high,198.02,9.11,2070.87,170,167,22,2024-05-19,Quality control issues at S005 facility halted production for 9 days pending inspection.
INC00284,S016,"Los Angeles, CA",West,Transportation Issue,Pharmaceuticals,In-Transit,high,401.18,8.61,1362.61,207,157,20,2024-05-20,"Truck fleet shortage affecting last-mile delivery from Los Angeles, CA, 8-day delay on Pharmaceuticals orders."
INC00316,S020,"San Jose, CA",West,Transportation Issue,Industrial Equipment,In-Transit,high,392.25,7.25,1712.87,112,89,11,2024-05-20,"Fuel price spike increasing transportation costs by 7.1% for San Jose, CA region shipments."
INC00304,S013,"Seattle, WA",Northwest,Demand Spike,Automotive Parts,Delivered,critical,0.32,10.79,648.98,59,70,13,2024-05-25,"B2B bulk order from key account straining Automotive Parts availability across Seattle, WA distribution network."
INC00125,S009,"New York, NY",Northeast,Stockout Risk,Industrial Equipment,Delayed,medium,294.28,2.12,432.77,319,326,3,2024-05-26,"Safety stock breach detected at New York, NY for Industrial Equipment category; replenishment order placed with S009."
INC00188,S020,"Los Angeles, CA",West,Stockout Risk,Automotive Parts,In-Transit,critical,2.24,0.23,1720.26,157,112,1,2024-05-27,"Safety stock breach detected at Los Angeles, CA for Automotive Parts category; replenishment order placed with S020."
INC00568,S019,"Chicago, IL",Midwest,Port Congestion,Raw Materials,Delayed,critical,596.33,16.23,1877.72,135,121,39,2024-05-27,"Labor strike at Chicago, IL port operations causing significant 16-day shipping delays."
INC00344,S010,"Dallas, TX",South,Quality Issue,Pharmaceuticals,Critical Delay,critical,414.48,12.64,588.93,299,385,19,2024-05-27,Material specification deviation in S010 Pharmaceuticals delivery requiring re-inspection and approval.
INC00275,S004,"Chicago, IL",Midwest,Weather Disruption,Electronics,In-Transit,medium,224.62,5.35,679.87,182,174,7,2024-05-29,"Hurricane warning at Chicago, IL port resulting in 5-day suspension of loading operations."
INC00189,S007,"San Jose, CA",West,Weather Disruption,Electronics,On-Time,high,117.3,3.2,1939.27,286,289,5,2024-06-01,"Winter storm affecting ground transportation near San Jose, CA, 3-day delivery delay expected."
INC00485,S018,"New York, NY",Northeast,Stockout Risk,Automotive Parts,On-Time,medium,236.54,3.46,2166.95,354,454,5,2024-06-03,"Demand surge exceeding supply at New York, NY — Automotive Parts inventory at 236 units vs 454 forecasted demand."
INC00050,S010,"Houston, TX",South,Demand Spike,Food & Beverage,Delayed,critical,17.01,0.13,1036.91,332,272,1,2024-06-05,"Seasonal demand surge for Food & Beverage exceeding forecast by 10.3% at Houston, TX fulfillment center."
INC00244,S003,"San Jose, CA",West,Demand Spike,Consumer Goods,On-Time,critical,11.3,5.71,1563.23,93,111,12,2024-06-06,"Seasonal demand surge for Consumer Goods exceeding forecast by 18.3% at San Jose, CA fulfillment center."
INC00030,S017,"New York, NY",Northeast,Demand Spike,Automotive Parts,On-Time,high,81.01,0.6,1988.11,101,128,1,2024-06-08,"Unexpected Automotive Parts demand increase at New York, NY region — 128 units ordered vs 81 in stock."
INC00563,S007,"Philadelphia, PA",Northeast,Transportation Issue,Consumer Goods,Critical Delay,critical,453.02,11.29,2007.91,239,301,17,2024-06-10,"Fuel price spike increasing transportation costs by 28.5% for Philadelphia, PA region shipments."
INC00528,S005,"Phoenix, AZ",Southwest,Stockout Risk,Pharmaceuticals,Delivered,high,116.68,0.09,3072.48,111,126,1,2024-06-10,"Phoenix, AZ distribution center reporting Pharmaceuticals stock depletion risk within 0 days at current consumption rate."
INC00048,S015,"Chicago, IL",Midwest,Customs Delay,Food & Beverage,In-Transit,high,72.94,12.95,2933.42,347,397,24,2024-06-11,"Tariff classification dispute for S015 shipment adding 12-day delay at Chicago, IL customs."
INC00010,S013,"Philadelphia, PA",Northeast,Transportation Issue,Medical Supplies,On-Time,high,65.44,0.23,894.55,73,64,1,2024-06-12,"Truck fleet shortage affecting last-mile delivery from Philadelphia, PA, 0-day delay on Medical Supplies orders."
INC00081,S006,"San Jose, CA",West,Weather Disruption,Raw Materials,Critical Delay,critical,1309.28,18.46,472.12,308,424,38,2024-06-13,"Flooding at San Jose, CA warehouse facility causing 18-day shutdown and inventory relocation."
INC00399,S010,"San Antonio, TX",South,Supplier Delay,Automotive Parts,Delayed,critical,198.15,23.9,436.18,300,270,51,2024-06-13,S010 reported production line shutdown due to equipment failure causing 23-day delivery delay.
INC00176,S019,"Chicago, IL",Midwest,Stockout Risk,Pharmaceuticals,In-Transit,critical,9.1,9.91,1826.1,286,310,15,2024-06-14,"Inventory for Pharmaceuticals at Chicago, IL warehouse approaching critical threshold — current level at 9 units."
INC00432,S017,"San Antonio, TX",South,Quality Issue,Food & Beverage,Delayed,high,93.43,9.02,1362.84,120,125,12,2024-06-18,Batch quality failure detected for Food & Beverage from S017 — 9-day hold pending quality review.
INC00192,S010,"Seattle, WA",Northwest,Supplier Delay,Raw Materials,Critical Delay,critical,49.13,6.79,1431.25,250,286,13,2024-06-23,Supplier S010 experiencing raw material shortage resulting in 6-day shipment delay for Raw Materials components.
INC00237,S003,"Austin, TX",South,Supplier Delay,Automotive Parts,Delayed,medium,330.98,4.83,150.54,145,189,5,2024-06-24,Quality control issues at S003 facility halted production for 4 days pending inspection.
INC00178,S018,"Phoenix, AZ",Southwest,Stockout Risk,Industrial Equipment,On-Time,high,68.35,1.24,1189.43,217,281,2,2024-06-24,"Phoenix, AZ distribution center reporting Industrial Equipment stock depletion risk within 1 days at current consumption rate."
INC00353,S007,"Phoenix, AZ",Southwest,Weather Disruption,Electronics,Delivered,low,586.3,1.0,1617.59,225,284,1,2024-06-26,"Severe weather event impacting Phoenix, AZ region causing 1-day operational disruption."
INC00325,S005,"Chicago, IL",Midwest,Weather Disruption,Raw Materials,Delayed,high,247.13,7.84,1322.68,212,253,15,2024-06-28,"Winter storm affecting ground transportation near Chicago, IL, 7-day delivery delay expected."
INC00205,S015,"Austin, TX",South,Demand Spike,Medical Supplies,Delayed,medium,275.22,2.68,2339.61,273,197,5,2024-06-28,"Flash sale event triggering 24.9% above-forecast demand for Medical Supplies — inventory risk at Austin, TX."
INC00136,S005,"Houston, TX",South,Port Congestion,Medical Supplies,Delayed,high,448.2,8.2,100.0,287,281,16,2024-06-30,"Vessel berthing delays at Houston, TX port increasing transit times by 8 days."
